"idpessoa","descNome","numCNPJ"
3329883,Zeca Loteiro 3329883,20605166000100
699545,Zeca Loteiro 699545,606010000106
48724,Zeca Loteiro 48724,
1240016,Zeca Loteiro 1240016,3202333000110
38015,Zeca Loteiro 38015,
2491057,Zeca Loteiro 2491057,2160130000150
1963889,Zeca Loteiro 1963889,16060301000165
455054,Zeca Loteiro 455054,22662313000111
2681118,Zeca Loteiro 2681118,303610000111
2055543,Zeca Loteiro 2055543,22031201000101
236717,Zeca Loteiro 236717,63100005000152
1528631,Zeca Loteiro 1528631,2160130000150
7303,Zeca Loteiro 7303,
778000,Zeca Loteiro 778000,1133625000101
1195077,Zeca Loteiro 1195077,
465202,Zeca Loteiro 465202,16510601000113
634612,Zeca Loteiro 634612,1530605000062
22537,Zeca Loteiro 22537,1661166000060
16963,Zeca Loteiro 16963,1011625000006
329650,Zeca Loteiro 329650,
845027,Zeca Loteiro 845027,60121023000130
4073661,Zeca Loteiro 4073661,26100061000122
924877,Zeca Loteiro 924877,22106635001056
3334935,Zeca Loteiro 3334935,135266000155
1207882,Zeca Loteiro 1207882,11363612000165
1063402,Zeca Loteiro 1063402,
3092966,Zeca Loteiro 3092966,616656000110
2280061,Zeca Loteiro 2280061,12515613000131
379325,Zeca Loteiro 379325,22650360000160
4542744,Zeca Loteiro 4542744,1323635000106
845,Zeca Loteiro 845,1000010000005
2268900,Zeca Loteiro 2268900,65635621000161
775885,Zeca Loteiro 775885,22113103000130
1703405,Zeca Loteiro 1703405,2016200000136
94644,Zeca Loteiro 94644,22010661000100
3245577,Zeca Loteiro 3245577,635626000162
422887,Zeca Loteiro 422887,
2818978,Zeca Loteiro 2818978,311660000106
1551655,Zeca Loteiro 1551655,
455054,Zeca Loteiro 455054,22662313000111
1064609,Zeca Loteiro 1064609,
638231,Zeca Loteiro 638231,
85437,Zeca Loteiro 85437,66606023051151
2691773,Zeca Loteiro 2691773,66606023000110
624244,Zeca Loteiro 624244,1330563000030
12830,Zeca Loteiro 12830,22051363000166
843530,Zeca Loteiro 843530,6130366000110
410946,Zeca Loteiro 410946,16633333000165
1198774,Zeca Loteiro 1198774,
749031,Zeca Loteiro 749031,10101105000160
15565,Zeca Loteiro 15565,22033313000132
40023,Zeca Loteiro 40023,1610156000016
2957710,Zeca Loteiro 2957710,22502651000113
